timestamp,hour_of_day,day_of_week,latitude,longitude,original-data
1364626743829,15,Saturday,23.09904125,113.42855917,1
1364626744109,15,Saturday,23.08814,113.52326,0
1364626744389,15,Saturday,23.08806,113.5226,0
1364626744669,15,Saturday,23.08799,113.52244,0
1364626744949,15,Saturday,23.08778,113.5222,0
1364626745229,15,Saturday,23.08756,113.52227,0
1364626745509,15,Saturday,23.08701,113.52249,0
1364626745789,15,Saturday,23.0866,113.52259,0
1364626746069,15,Saturday,23.08637,113.52265,0
1364626746349,15,Saturday,23.08607,113.52282,0
1364626746629,15,Saturday,23.08563,113.52302,0
1364626746909,15,Saturday,23.08559,113.52291,0
1364626747189,15,Saturday,23.08495,113.52318,0
1364626747469,15,Saturday,23.08513,113.5237,0
1364626747749,15,Saturday,23.08517,113.52385,0
1364626748029,15,Saturday,23.08503,113.5239,0
1364626748309,15,Saturday,23.08455,113.52408,0
1364626748589,15,Saturday,23.08452,113.52391,0
1364626748869,15,Saturday,23.08441,113.52358,0
1364626749149,15,Saturday,23.08396,113.52205,0
1364626749429,15,Saturday,23.08392,113.52158,0
1364626749709,15,Saturday,23.08393,113.52138,0
1364626749989,15,Saturday,23.08383,113.52093,0
1364626750269,15,Saturday,23.0837,113.52032,0
1364626750549,15,Saturday,23.0836,113.51997,0
1364626750829,15,Saturday,23.08347,113.5197,0
1364626751109,15,Saturday,23.08318,113.51932,0
1364626751389,15,Saturday,23.08287,113.51811,0
1364626751669,15,Saturday,23.08258,113.5167,0
1364626751949,15,Saturday,23.08224,113.51491,0
1364626752229,15,Saturday,23.08217,113.51385,0
1364626752509,15,Saturday,23.08217,113.51349,0
1364626752789,15,Saturday,23.08226,113.51241,0
1364626753069,15,Saturday,23.08255,113.50973,0
1364626753349,15,Saturday,23.08286,113.50689,0
1364626753629,15,Saturday,23.08302,113.50562,0
1364626753909,15,Saturday,23.08306,113.50528,0
1364626754189,15,Saturday,23.08316,113.50438,0
1364626754469,15,Saturday,23.08318,113.5041,0
1364626754749,15,Saturday,23.08319,113.50356,0
1364626755029,15,Saturday,23.08317,113.50264,0
1364626755309,15,Saturday,23.0831,113.50196,0
1364626755589,15,Saturday,23.08301,113.50131,0
1364626755869,15,Saturday,23.08297,113.50071,0
1364626756149,15,Saturday,23.08297,113.50039,0
1364626756429,15,Saturday,23.08303,113.49975,0
1364626756709,15,Saturday,23.08312,113.49919,0
1364626756989,15,Saturday,23.08325,113.49869,0
1364626757269,15,Saturday,23.08333,113.49845,0
1364626757549,15,Saturday,23.08352,113.49804,0
1364626757829,15,Saturday,23.0837,113.4977,0
1364626758109,15,Saturday,23.08385,113.49745,0
1364626758389,15,Saturday,23.08439,113.49668,0
1364626758669,15,Saturday,23.08535,113.49556,0
1364626758949,15,Saturday,23.08581,113.49497,0
1364626759229,15,Saturday,23.08605,113.49454,0
1364626759509,15,Saturday,23.08617,113.49425,0
1364626759789,15,Saturday,23.08656,113.49339,0
1364626760069,15,Saturday,23.08661,113.49324,0
1364626760349,15,Saturday,23.08674,113.49255,0
1364626760629,15,Saturday,23.08701,113.49101,0
1364626760909,15,Saturday,23.08729,113.48962,0
1364626761189,15,Saturday,23.08754,113.48841,0
1364626761469,15,Saturday,23.08772,113.4877,0
1364626761749,15,Saturday,23.0879,113.48715,0
1364626762029,15,Saturday,23.08812,113.48665,0
1364626762309,15,Saturday,23.08845,113.48609,0
1364626762589,15,Saturday,23.08898,113.48544,0
1364626762869,15,Saturday,23.08941,113.485,0
1364626763149,15,Saturday,23.09076,113.48376,0
1364626763429,15,Saturday,23.09143,113.48315,0
1364626763709,15,Saturday,23.09193,113.48265,0
1364626763989,15,Saturday,23.09227,113.48227,0
1364626764269,15,Saturday,23.09241,113.4821,0
1364626764549,15,Saturday,23.09258,113.48177,0
1364626764829,15,Saturday,23.09307,113.48056,0
1364626765109,15,Saturday,23.09335,113.4796,0
1364626765389,15,Saturday,23.09356,113.47879,0
1364626765669,15,Saturday,23.09449,113.47518,0
1364626765949,15,Saturday,23.09478,113.47408,0
1364626766229,15,Saturday,23.09502,113.47329,0
1364626766509,15,Saturday,23.09538,113.47226,0
1364626766789,15,Saturday,23.09593,113.47099,0
1364626767069,15,Saturday,23.09607,113.47068,0
1364626767349,15,Saturday,23.09666,113.46949,0
1364626767629,15,Saturday,23.09772,113.46747,0
1364626767909,15,Saturday,23.09887,113.4652,0
1364626768189,15,Saturday,23.10024,113.46246,0
1364626768469,15,Saturday,23.10044,113.46202,0
1364626768749,15,Saturday,23.10059,113.4616,0
1364626769029,15,Saturday,23.1008,113.46076,0
1364626769309,15,Saturday,23.10112,113.45907,0
1364626769589,15,Saturday,23.10126,113.45809,0
1364626769869,15,Saturday,23.10135,113.4571,0
1364626770149,15,Saturday,23.10141,113.45625,0
1364626770429,15,Saturday,23.10145,113.45568,0
