timestamp,hour_of_day,day_of_week,latitude,longitude,original-data,direction_of_movement
1365911152646,12,Sunday,23.14021383,113.33771048,1,$
1365911213398,12,Sunday,23.13991,113.33769,0,E
1365911274150,12,Sunday,23.13993,113.33726,0,S
1365911334902,12,Sunday,23.1407,113.337,0,W
1365911395654,12,Sunday,23.1409,113.33694,0,W
1365911456406,12,Sunday,23.14127,113.33686,0,W
1365911517158,12,Sunday,23.14144,113.33684,0,W
1365911577910,12,Sunday,23.14142,113.33726,0,N
1365911638662,12,Sunday,23.14133,113.33911,0,N
1365911699414,12,Sunday,23.14129,113.34015,0,N
1365911760166,12,Sunday,23.14121,113.34025,0,NW
1365911820918,12,Sunday,23.1412,113.34049,0,N
1365911881670,12,Sunday,23.14124,113.34158,0,N
1365911942422,12,Sunday,23.14125,113.34199,0,N
1365912003174,13,Sunday,23.14126,113.34262,0,N
1365912063926,13,Sunday,23.14077,113.34264,0,W
1365912124678,13,Sunday,23.14065,113.34264,0,W
1365912185430,13,Sunday,23.14061,113.34265,0,W
1365912246182,13,Sunday,23.14057,113.34268,0,NW
1365912306934,13,Sunday,23.1405,113.3428,0,NW
1365912367686,13,Sunday,23.13987,113.34379,0,NW
1365912428438,13,Sunday,23.13984,113.34378,0,E
1365912489190,13,Sunday,23.13977,113.34374,0,SE
1365912549942,13,Sunday,23.13971,113.3437,0,SE
1365912610694,13,Sunday,23.13955,113.34358,0,SE
1365912671446,13,Sunday,23.13952,113.34362,0,NW
1365912732198,13,Sunday,23.13931,113.34395,0,NW
1365912792950,13,Sunday,23.13905,113.34434,0,NW
1365912853702,13,Sunday,23.13813,113.34359,0,SE
1365912914454,13,Sunday,23.13798,113.34346,0,SE
1365912975206,13,Sunday,23.1378,113.34335,0,SE
1365913035958,13,Sunday,23.13717,113.3431,0,E
1365913096710,13,Sunday,23.13674,113.34285,0,SE
1365913157462,13,Sunday,23.13645,113.34265,0,SE
1365913218214,13,Sunday,23.13619,113.34246,0,SE
1365913278966,13,Sunday,23.13597,113.34238,0,E
1365913339718,13,Sunday,23.13585,113.34239,0,W
1365913400470,13,Sunday,23.13572,113.34249,0,NW
1365913461222,13,Sunday,23.13563,113.34256,0,NW
1365913521974,13,Sunday,23.13578,113.34318,0,N
1365913582726,13,Sunday,23.13598,113.34399,0,N
1365913643478,13,Sunday,23.13617,113.34491,0,N
1365913704230,13,Sunday,23.13622,113.34521,0,N
1365913764982,13,Sunday,23.13629,113.34534,0,NE
1365913825734,13,Sunday,23.13632,113.34546,0,N
1365913886486,13,Sunday,23.13635,113.34586,0,N
1365913947238,13,Sunday,23.13635,113.34613,0,N
1365914007990,13,Sunday,23.1363,113.34682,0,N
1365914068742,13,Sunday,23.13608,113.34797,0,N
1365914129494,13,Sunday,23.13592,113.3488,0,N
1365914190246,13,Sunday,23.13578,113.34939,0,N
1365914250998,13,Sunday,23.13578,113.34949,0,N
1365914311750,13,Sunday,23.13555,113.35078,0,N
1365914372502,13,Sunday,23.13534,113.3519,0,N
1365914433254,13,Sunday,23.13518,113.35289,0,N
1365914494006,13,Sunday,23.13501,113.3541,0,N
1365914554758,13,Sunday,23.13458,113.35688,0,N
1365914615510,13,Sunday,23.13429,113.35887,0,N
1365914676262,13,Sunday,23.13227,113.35849,0,E
1365914737014,13,Sunday,23.13187,113.35843,0,E
1365914797766,13,Sunday,23.13176,113.35844,0,W
1365914858518,13,Sunday,23.13166,113.35849,0,NW
1365914919270,13,Sunday,23.13156,113.35861,0,NW
1365914980022,13,Sunday,23.13149,113.35876,0,NW
1365915040774,13,Sunday,23.13146,113.35894,0,N
1365915101526,13,Sunday,23.13144,113.36015,0,N
1365915162278,13,Sunday,23.13143,113.36085,0,N
1365915223030,13,Sunday,23.13146,113.36246,0,N
1365915283782,13,Sunday,23.13112,113.36249,0,W
1365915344534,13,Sunday,23.13015,113.3626,0,W
1365915405286,13,Sunday,23.12934,113.3627,0,W
1365915466038,13,Sunday,23.1288,113.36278,0,W
1365915526790,13,Sunday,23.12848,113.36276,0,E
1365915587542,13,Sunday,23.12791,113.36262,0,E
1365915648294,14,Sunday,23.12746,113.36251,0,E
1365915709046,14,Sunday,23.12527,113.36227,0,E
1365915769798,14,Sunday,23.12465,113.36222,0,E
1365915830553,14,Sunday,23.12469395,113.36170007,1,S
1365918447949,14,Sunday,23.12469395,113.36170007,1,stat
1365918448086,14,Sunday,23.13913,113.33802,0,SW
1365918448223,14,Sunday,23.13903,113.33873,0,N
1365918448360,14,Sunday,23.13904,113.33877,0,N
1365918448497,14,Sunday,23.13969,113.33891,0,E
1365918448634,14,Sunday,23.13983,113.33893,0,E
1365918448771,14,Sunday,23.13986,113.33868,0,S
1365918448908,14,Sunday,23.13993,113.33726,0,S
1365918449045,14,Sunday,23.14074,113.33698,0,W
1365918449182,14,Sunday,23.14113,113.33689,0,W
1365918449319,14,Sunday,23.14144,113.33684,0,W
1365918449456,14,Sunday,23.14136,113.33844,0,N
1365918449593,14,Sunday,23.1413,113.33964,0,N
1365918449730,14,Sunday,23.14129,113.34015,0,N
1365918449867,14,Sunday,23.14121,113.34025,0,NW
1365918450004,14,Sunday,23.14121,113.34078,0,N
1365918450141,14,Sunday,23.14124,113.34164,0,N
1365918450278,14,Sunday,23.14126,113.34262,0,N
1365918450415,14,Sunday,23.14068,113.34264,0,W
1365918450552,14,Sunday,23.14059,113.34266,0,W
1365918450689,14,Sunday,23.13987,113.34379,0,NW
1365918450826,14,Sunday,23.13975,113.34373,0,SE
1365918450963,14,Sunday,23.13955,113.34358,0,SE
1365918451100,14,Sunday,23.13941,113.3438,0,NW
1365918451237,14,Sunday,23.13905,113.34434,0,NW
1365918451374,14,Sunday,23.13798,113.34346,0,SE
1365918451511,14,Sunday,23.13766,113.3433,0,SE
1365918451648,14,Sunday,23.13717,113.3431,0,E
1365918451785,14,Sunday,23.13688,113.34294,0,SE
1365918451922,14,Sunday,23.13662,113.34277,0,SE
1365918452059,14,Sunday,23.13623,113.34249,0,SE
1365918452196,14,Sunday,23.13617,113.34245,0,SE
1365918452333,14,Sunday,23.13594,113.34237,0,E
1365918452470,14,Sunday,23.13584,113.3424,0,W
1365918452607,14,Sunday,23.13569,113.34251,0,NW
1365918452744,14,Sunday,23.13563,113.34256,0,NW
1365918452881,14,Sunday,23.13566,113.34271,0,N
1365918453018,14,Sunday,23.1359,113.3437,0,N
1365918453155,14,Sunday,23.13605,113.34432,0,N
1365918453292,14,Sunday,23.13622,113.34521,0,N
1365918453429,14,Sunday,23.13629,113.34534,0,NE
1365918453566,14,Sunday,23.13631,113.34543,0,N
1365918453703,14,Sunday,23.13633,113.34556,0,N
1365918453840,14,Sunday,23.13636,113.34597,0,N
1365918453977,14,Sunday,23.13634,113.34646,0,N
1365918454114,14,Sunday,23.1363,113.34682,0,N
1365918454251,14,Sunday,23.1362,113.34733,0,N
1365918454388,14,Sunday,23.13604,113.3482,0,N
1365918454525,14,Sunday,23.13578,113.34939,0,N
1365918454662,14,Sunday,23.13566,113.35016,0,N
1365918454799,14,Sunday,23.13555,113.3508,0,N
1365918454936,14,Sunday,23.13524,113.3525,0,N
1365918455073,14,Sunday,23.13511,113.35339,0,N
1365918455210,14,Sunday,23.13483,113.3553,0,N
1365918455347,14,Sunday,23.13453,113.35719,0,N
1365918455484,14,Sunday,23.13433,113.35857,0,N
1365918455621,14,Sunday,23.13429,113.35887,0,N
1365918455758,14,Sunday,23.13353,113.35872,0,E
1365918455895,14,Sunday,23.13309,113.35865,0,E
1365918456032,14,Sunday,23.13221,113.35848,0,E
1365918456169,14,Sunday,23.13181,113.35843,0,E
1365918456306,14,Sunday,23.13171,113.35846,0,W
1365918456443,14,Sunday,23.13161,113.35853,0,NW
1365918456580,14,Sunday,23.13152,113.35867,0,NW
1365918456717,14,Sunday,23.13147,113.35885,0,N
1365918456854,14,Sunday,23.13144,113.35979,0,N
1365918456991,14,Sunday,23.13143,113.36067,0,N
1365918457128,14,Sunday,23.13146,113.36246,0,N
1365918457265,14,Sunday,23.13028,113.36259,0,W
1365918457402,14,Sunday,23.12907,113.36274,0,W
1365918457539,14,Sunday,23.12868,113.36278,0,W
1365918457676,14,Sunday,23.1283,113.36273,0,E
1365918457813,14,Sunday,23.12767,113.36256,0,E
1365918457950,14,Sunday,23.12733,113.36249,0,E
1365918458087,14,Sunday,23.12506,113.36226,0,E
1365918458224,14,Sunday,23.12465,113.36222,0,E
1365918458409,14,Sunday,23.13874288,113.33792421,1,SW
1365918485076,14,Sunday,23.13913,113.33802,0,E
1365918511743,14,Sunday,23.13926,113.3375,0,S
1365918538410,14,Sunday,23.13932,113.33745,0,SW
1365918565077,14,Sunday,23.13906,113.33674,0,S
